,City name,Reporting year (CDP),Year of emission,Total emissions (CDP) [tCO2-eq],CO2 emissions per capita (PKU) [tCO2/capita],City location (CDP) [degrees],Country,Population (CDP),Population year (CDP),City area (CDP) [km2],Built-up area (PKU) [km2],Average altitude [m],Average annual temperature (CDP) [degrees Celsius],Income per capita (PKU) [RMB/capita],Total final consumption per capita (GEA) [GJ/capita/yr],Household size (GEA+) [people/household],Mean one-way travel time (others) [minutes],Mean one-way travel time year (others),Diesel price 2014 (others) [USD/liter],Gasoline price 2014 (others) [USD/liter],Low BUA - 1990 (UEX) [km2],Low BUA - 2000 (UEX) [km2],Low BUA - 2014 (UEX) [km2],High BUA - 1990 (UEX) [km2],High BUA - 2000 (UEX) [km2],High BUA - 2014 (UEX) [km2],Low BUA % - 1990 (UEX) [percent],Low BUA % - 2000 (UEX) [percent],Low BUA % - 2014 (UEX) [percent],High BUA % - 1990 (UEX) [percent],High BUA % - 2000 (UEX) [percent],High BUA % - 2014 (UEX) [percent],Low BUA population density - 1990 (UEX) [people/km2],High BUA population density - 1990 (UEX) [people/km2],Low BUA population density - 2000 (UEX) [people/km2],High BUA population density - 2000 (UEX) [people/km2],Low BUA population density - 2014 (UEX) [people/km2],High BUA population density - 2014 (UEX) [people/km2],Exports (others) [m3],Production (others) [m3],Natgas Export/Production ratio (others),CH4_waste/capita (others) [tCH4/capita],CH4_waste+natgas/capita (others) [tCH4/capita],Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita],Population density [people/km2],GDP (USD)
0,Aarhus,2016,2016,1900,,"(56.168393, 10.137373)",Denmark,320000,2016,467.85,,,,,,2.103625502,,,1.8,2.01,37.625,40.125,42.6875,77.375,85.25,93.3125,0.327173913,0.32003988,0.313878676,0.672826087,0.67996012,0.686121324,238.581809,2948.643349,257.6305893,2660.083381,244.1226357,2783.303589,4517000000,6412000000,0.7,0.010683401,0.01703133,0.012559465,683.9799081,
1,Abington,2016,2010,615224,,"(40.12408, -75.119511)",USA,55310,2010,40.1,,86,13.6,,,2.62,27.8,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1379.301746,
2,Addis Ababa,2016,2012,3708292,,"(9.028874, 38.754366)",Ethiopia,3384569,2008,540,,2650,,,,,,,0.89,0.99,82.375,103.75,202.125,102.8125,155.0625,281.75,0.44481944,0.400869355,0.417721519,0.55518056,0.599130645,0.582278481,935.7156042,10768.61523,3063.227499,16527.76091,1600.277382,13451.83816,0,1,0,0.004323574,0.018202627,0.018202627,6267.72037,12000000000
3,Adelaide,2016,2013,486541,,"(-34.928499, 138.600746)",Australia,23169,2015,16,,38,18,,,1.7,33.23,2014-2017,1.28,1.23,234.5625,244.5,250.125,595,617.625,639.25,0.282754464,0.283601566,0.281236824,0.717245536,0.716398434,0.718763176,401.9281789,6206.605592,75.98207965,1470.030353,74.79258037,1789.259778,31610000000,62640000000,0.5,0.027793371,0.039682077,0.033682684,1448.0625,47433000000
4,Aerøskøbing,2016,2015,225,,"(54.891456, 10.404684)",Denmark,6200,2015,88,,10,10,,,1.790832608,,,1.8,2.01,,,,,,,,,,,,,,,,,,,4517000000,6412000000,0.7,0.010683401,0.01703133,0.012559465,70.45454545,
5,Aguascalientes,2016,2010,,,"(21.8897, -102.295)",Mexico,934424,2012,385,,,,,,,,,1.02,1.03,57,63.1875,72.9375,70.5,96.5,130.4375,0.447058824,0.395694716,0.358635526,0.552941176,0.604305284,0.641364474,1846.4618,17478.15691,1457.258225,6440.991309,417.5097633,7286.423631,,,,,,,2427.075325,8321480
6,Ahmedabad,2016,2008,,,"(23.03, 72.58)",India,5570585,2011,464,,,,,15.77327514,4.8,,,0.91,1.1,169.125,195.1875,253.25,246.25,284.375,370.375,0.407162203,0.407011599,0.406093405,0.592837797,0.592988401,0.593906595,602.0981956,4249.952712,1340.108495,19016.35172,1134.356575,19233.76326,,,,,,,12005.57112,49000000000
7,"Ajax, ON",2016,2008,538836,,"(43.850855, -79.020373)",Canada,109600,2011,67.1,,90,7.8,,,3.2,34.9,2011,1.16,1.17,,,,,,,,,,,,,,,,,,,77960000000,1.515E+11,0.51,0.046860437,0.101727514,0.073493605,1633.38301,
8,Albany,2017,2010,1217091,,"(42.6526, -73.7562)",USA,97856,2010,55,,9,9,,,2.19,19.1,(2011-2015) ,0.97,0.86,187.5625,193.1875,200.1875,281.75,311.8125,336.375,0.399653749,0.382549505,0.373092603,0.600346251,0.617450495,0.626907397,261.0916959,1019.549209,170.9526553,1148.163421,147.0321286,1131.750769,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1779.2,58397000000
9,"Alton, IL",2016,2013,401079,,"(38.890604, -90.184276)",USA,26581,2015,43,,132,13.7,,,2.27,22.7,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,618.1627907,
